Date,Rot,VH,Team,1st,2nd,3rd,Final,Open,Close,Open OU,,Close OU,
1001,1,V,Montreal,1,1,1,4,104,-110,6,-120,6,-115
1001,2,H,Toronto,1,1,1,3,-124,-110,6,100,6,-105
1001,3,V,Washington,1,1,2,4,110,115,6,100,6,105
1001,4,H,Boston,0,0,1,1,-130,-135,6,-120,6,-125
1001,5,V,SanJose,1,1,0,2,-165,-170,5.5,-110,5.5,100
1001,6,H,Colorado,2,3,0,5,145,150,5.5,-110,5.5,-120
1001,7,V,Vancouver,0,2,1,3,105,105,5.5,-110,5.5,-105
1001,8,H,Calgary,3,1,1,5,-125,-125,5.5,-110,5.5,-115
1002,51,V,Florida,0,1,2,4,133,140,5.5,-110,5.5,-110
1002,52,H,Chicago,0,1,2,3,-153,-160,5.5,-110,5.5,-110
1002,53,V,Detroit,2,1,0,3,-133,-165,5.5,-109,5.5,-115
1002,54,H,St.Louis,1,3,0,4,113,145,5.5,-111,5.5,-105
1002,55,V,Philadelphia,0,2,0,2,-105,-110,6,105,6,110
1002,56,H,Carolina,0,0,0,0,-115,-110,6,-125,6,-130
1002,57,V,NYRangers,1,0,1,2,131,145,5.5,-120,5.5,-120
1002,58,H,Pittsburgh,1,2,0,3,-151,-165,5.5,100,5.5,100
1003,1,V,Chicago,1,2,1,4,-135,-170,5.5,-110,5.5,-110
1003,2,H,Florida,0,0,0,0,115,150,5.5,-110,5.5,-110
1003,3,V,St.Louis,1,3,1,5,146,155,5.5,-110,5.5,-120
1003,4,H,Detroit,2,1,0,3,-166,-175,5.5,-110,5.5,100
1003,5,V,Vancouver,0,0,0,0,-140,-150,5.5,105,5.5,100
1003,6,H,Colorado,1,1,1,3,120,130,5.5,-125,5.5,-120
1003,7,V,Philadelphia,1,2,2,5,120,100,5.5,-105,5.5,100
1003,8,H,NewJersey,0,0,2,2,-140,-120,5.5,-115,5.5,-120
1003,9,V,Carolina,0,1,1,2,163,160,5.5,-110,5.5,-105
1003,10,H,Boston,3,3,1,7,-183,-180,5.5,-110,5.5,-115
1003,11,V,Montreal,0,1,0,2,131,115,5.5,-125,5.5,-115
1003,12,H,Buffalo,1,0,0,1,-151,-135,5.5,105,5.5,-105
1003,13,V,Pittsburgh,1,0,2,4,-166,-150,6,100,6,105
1003,14,H,NYIslanders,1,1,1,3,146,130,6,-120,6,-125
1003,15,V,Ottawa,0,1,1,2,125,110,5.5,-109,5.5,-105
1003,16,H,NYRangers,0,3,2,5,-145,-130,5.5,-111,5.5,-115
1003,17,V,TampaBay,0,2,1,3,120,-105,6,-125,6,-120
1003,18,H,Atlanta,2,2,2,6,-140,-115,6,105,6,100
1003,19,V,Toronto,0,1,3,4,180,190,6,-115,6,-125
1003,20,H,Washington,3,3,0,6,-210,-220,6,-105,6,105
1003,21,V,Minnesota,0,0,1,1,131,125,5.5,105,5.5,110
1003,22,H,Columbus,0,1,1,2,-151,-145,5.5,-125,5.5,-130
1003,23,V,Nashville,1,1,0,3,126,110,5.5,-110,5.5,100
1003,24,H,Dallas,0,1,1,2,-146,-130,5.5,-110,5.5,-120
1003,25,V,Calgary,2,1,1,4,-105,-110,5.5,-110,5.5,-110
1003,26,H,Edmonton,1,1,1,3,-115,-110,5.5,-110,5.5,-110
1003,27,V,SanJose,3,1,0,4,-115,-120,5.5,-105,5.5,100
1003,28,H,Anaheim,0,0,1,1,-105,100,5.5,-115,5.5,-120
1003,29,V,Phoenix,2,2,2,6,141,125,5.5,-110,5.5,-105
1003,30,H,LosAngeles,0,2,1,3,-161,-145,5.5,-110,5.5,-115
1005,51,V,NYRangers,2,1,0,3,110,105,5.5,-105,5.5,100
1005,52,H,NewJersey,2,0,0,2,-130,-125,5.5,-115,5.5,-120
1005,53,V,Columbus,1,3,1,5,140,140,5.5,110,5.5,115
1005,54,H,Vancouver,1,1,1,3,-160,-160,5.5,-130,5.5,-135
1006,1,V,TampaBay,0,1,0,1,140,125,6,-105,6,100
1006,2,H,Carolina,1,0,0,2,-160,-145,6,-115,6,-120
1006,3,V,Ottawa,0,2,0,2,-110,110,6,-110,6,-115
1006,4,H,Toronto,0,0,1,1,-110,-130,6,-110,6,-105
1006,5,V,Washington,0,3,2,5,105,105,6,-125,6,-120
1006,6,H,Philadelphia,0,4,1,6,-125,-125,6,105,6,100
1006,7,V,Montreal,2,1,0,3,135,160,5.5,-125,5.5,-120
1006,8,H,Calgary,1,2,1,4,-155,-180,5.5,105,5.5,100
1006,9,V,Anaheim,0,3,0,3,100,105,5.5,110,5.5,115
1006,10,H,Minnesota,0,0,3,4,-120,-125,5.5,-130,5.5,-135
1006,11,V,Dallas,1,2,1,4,120,115,5.5,-105,5.5,-105
1006,12,H,Edmonton,1,2,1,5,-140,-135,5.5,-115,5.5,-115
1006,13,V,SanJose,0,2,2,4,-150,-150,5.5,-110,5.5,100
1006,14,H,LosAngeles,1,3,2,6,130,130,5.5,-110,5.5,-120
1007,51,V,Phoenix,1,1,1,3,185,170,6,-105,6,100
1007,52,H,Pittsburgh,0,0,0,0,-215,-190,6,-115,6,-120
1007,53,V,Montreal,0,1,0,1,157,160,5.5,-115,5.5,-110
1007,54,H,Vancouver,3,2,2,7,-177,-180,5.5,-105,5.5,-110
1008,1,V,Anaheim,0,3,3,6,150,145,5.5,-105,5.5,-105
1008,2,H,Boston,1,0,0,1,-170,-165,5.5,-115,5.5,-115
1008,3,V,Phoenix,0,0,1,1,172,145,5.5,-110,5.5,-115
1008,4,H,Buffalo,0,0,2,2,-192,-165,5.5,-110,5.5,-105
1008,5,V,NYIslanders,0,1,1,2,160,145,5.5,-110,5.5,-110
1008,6,H,Ottawa,1,1,0,3,-180,-165,5.5,-110,5.5,-110
1008,7,V,Pittsburgh,2,2,1,5,120,125,6.5,-105,6.5,100
1008,8,H,Philadelphia,1,2,1,4,-140,-145,6.5,-115,6.5,-120
1008,9,V,NYRangers,0,2,2,4,150,155,6,-110,6,-110
1008,10,H,Washington,1,0,2,3,-170,-175,6,-110,6,-110
1008,11,V,NewJersey,1,1,1,4,-105,-110,5.5,-110,5.5,-105
1008,12,H,TampaBay,0,1,2,3,-115,-110,5.5,-110,5.5,-115
1008,13,V,Chicago,0,1,1,2,130,135,6,-110,6,-105
1008,14,H,Detroit,0,3,0,3,-150,-155,6,-110,6,-115
1008,15,V,Atlanta,2,1,1,4,135,145,6,-105,6,-110
1008,16,H,St.Louis,1,0,1,2,-155,-165,6,-115,6,-110
1008,17,V,Colorado,0,1,1,2,115,115,5.5,-105,5.5,115
1008,18,H,Nashville,0,1,2,3,-135,-135,5.5,-115,5.5,-135
