Date,Rot,VH,Team,1st,2nd,3rd,Final,Open,Close,Open OU,,Close OU,
1007,1,V,Carolina,1,3,0,4,-105,100,5.5,105,5.5,110
1007,2,H,Minnesota,1,1,1,3,-115,-120,5.5,-125,5.5,-130
1007,3,V,Philadelphia,0,2,1,3,147,150,6,-115,6,-125
1007,4,H,Pittsburgh,0,0,2,2,-167,-170,6,-105,6,105
1007,5,V,Montreal,1,0,1,2,110,135,5.5,-115,5.5,-120
1007,6,H,Toronto,2,0,1,3,-130,-155,5.5,-105,5.5,100
1007,7,V,Chicago,1,1,1,3,-120,-135,5.5,-115,5.5,-120
1007,8,H,Colorado,1,2,0,4,100,115,5.5,-105,5.5,100
1007,9,V,Calgary,0,0,0,0,-104,-110,5.5,100,5.5,-110
1007,10,H,Edmonton,1,0,3,4,-116,-110,5.5,-120,5.5,-110
1008,51,V,Minnesota,1,0,0,1,-105,-125,5.5,103,5.5,105
1008,52,H,Carolina,0,1,0,2,-115,105,5.5,-123,5.5,-125
1008,53,V,Columbus,2,0,0,2,165,170,5.5,-111,5.5,-110
1008,54,H,SanJose,2,0,1,3,-185,-200,5.5,-109,5.5,-110
1008,55,V,Anaheim,0,0,0,0,173,170,5.5,-110,5.5,-125
1008,56,H,Detroit,2,2,0,4,-193,-200,5.5,-110,5.5,105
1008,57,V,Dallas,1,2,0,4,173,165,5.5,-105,5.5,100
1008,58,H,NewJersey,2,1,0,3,-193,-185,5.5,-115,5.5,-120
1008,59,V,Buffalo,1,0,1,2,115,105,5.5,-105,5.5,-110
1008,60,H,Ottawa,0,1,0,1,-135,-125,5.5,-115,5.5,-110
1008,61,V,Washington,1,0,1,2,-162,-170,6.5,-109,6.5,-110
1008,62,H,Atlanta,1,2,1,4,142,150,6.5,-111,6.5,-110
1009,1,V,Phoenix,1,3,1,5,107,105,5,-110,5,-120
1009,2,H,Boston,0,0,2,2,-127,-125,5,-110,5,100
1009,3,V,SanJose,1,0,1,2,-162,-160,5.5,-110,5.5,100
1009,4,H,Columbus,1,0,1,3,142,140,5.5,-110,5.5,-120
1009,5,V,NYRangers,2,2,2,6,119,125,5.5,100,5.5,105
1009,6,H,Buffalo,0,1,2,3,-139,-145,5.5,-120,5.5,-125
1009,7,V,Ottawa,0,0,1,1,115,130,5.5,-110,5.5,-110
1009,8,H,Toronto,2,1,2,5,-135,-150,5.5,-110,5.5,-110
1009,9,V,Dallas,2,1,1,5,-107,-110,5.5,-111,5.5,-110
1009,10,H,NYIslanders,0,2,2,4,-113,-110,5.5,-109,5.5,-110
1009,11,V,Montreal,1,0,2,3,190,180,5.5,-115,5.5,-120
1009,12,H,Pittsburgh,0,1,1,2,-220,-210,5.5,-105,5.5,100
1009,13,V,NewJersey,2,0,0,2,131,135,6,-105,6,110
1009,14,H,Washington,1,4,2,7,-151,-155,6,-115,6,-130
1009,15,V,Atlanta,0,2,1,3,126,120,6,-110,6,110
1009,16,H,TampaBay,2,2,1,5,-146,-140,6,-110,6,-130
1009,17,V,Philadelphia,0,0,1,1,-107,110,5.5,-111,5.5,-105
1009,18,H,St.Louis,1,0,0,2,-113,-130,5.5,-109,5.5,-115
1009,19,V,Anaheim,0,1,0,1,121,135,5.5,-105,5.5,100
1009,20,H,Nashville,0,3,1,4,-141,-155,5.5,-115,5.5,-120
1009,21,V,Detroit,1,1,1,3,131,120,5.5,-120,5.5,-125
1009,22,H,Chicago,1,1,0,2,-151,-140,5.5,100,5.5,105
1009,23,V,LosAngeles,0,0,1,2,136,135,5.5,-110,5.5,-110
1009,24,H,Vancouver,0,1,0,1,-156,-155,5.5,-110,5.5,-110
1010,51,V,Boston,0,2,1,3,-109,-120,5,-119,5,-135
1010,52,H,Phoenix,0,0,0,0,-111,100,5,-101,5,115
1010,53,V,Florida,0,2,0,2,129,130,5.5,105,5.5,100
1010,54,H,Edmonton,0,3,0,3,-149,-150,5.5,-125,5.5,-120
